x1,x2,x3,Amount,Gt50K
15074.782031588256,12592.456366401166,18441.226300783455,46108.46469877288,0
13067.685060668737,12719.209054484963,15028.239325620234,40815.133440773934,0
14269.076664932072,13752.941626589745,13915.256503969431,41937.27479549125,0
16931.020808406174,18344.452804885805,16708.63152947277,51984.10514276475,1
10851.359688676894,17597.256011795253,15540.641890838742,43989.25759131089,0
12254.366164561361,18735.50320509821,13074.775387067348,44064.64475672692,0
12745.305229909718,14782.778611406684,18346.402579918504,45874.486421234906,0
12723.050662316382,13297.434367705137,16353.065997827798,42373.55102784932,0
16158.293078187853,17210.47032624483,15734.31366821751,49103.077072650194,0
14296.715254895389,13640.58710867539,18831.524522975087,46768.82688654587,0
16516.556669957936,14193.089385516942,13462.336107622832,44171.98216309771,0
15677.37752571702,12409.30114639923,10796.47981096059,38883.15848307684,0
11135.089821182191,15935.600327793509,14461.456881836057,41532.14703081176,0
15959.253052715212,19827.920633833855,14228.170302230865,50015.34398877993,1
13580.499750096351,11854.659102391452,11603.405044879764,37038.56389736757,0
14288.094183430076,10314.871673472226,18967.4810343422,43570.4468912445,0
10519.033221062273,16263.15008616075,12524.97837645933,39307.16168368235,0
12641.776674427092,12837.758108507842,15497.185394633561,40976.720177568495,0
13987.90730861947,13213.565472979099,16028.81585713476,43230.28863873333,0
18361.341434065253,17077.900145668536,16842.03805634752,52281.27963608131,1
18647.212258074433,11102.355942130089,12412.765563931316,42162.33376413584,0
16153.524168767035,18998.116666916758,10028.859083540738,45180.49991922453,0
17751.098964363337,14972.63815253973,15818.509904202074,48542.24702110514,0
13555.686913896352,12514.358370099217,18453.02636967972,44523.07165367529,0
14058.499720413238,14210.143126547337,18303.877105936408,46572.51995289698,0
17066.469138953835,17848.618116695434,18692.032208200544,53607.11946384981,1
18382.87665275857,12867.884542793036,19275.481605436653,50526.24280098826,1
12395.891312044114,13532.277657650411,15287.628949154168,41215.79791884869,0
17707.715332508087,11165.453044231981,11338.224140927196,40211.392517667264,0
13558.977444190532,11774.597729090601,18325.0580355525,43658.633208833635,0
15355.970377568156,19133.338779211044,16107.630224432796,50596.939381211996,1
10930.881295353174,16715.74018895626,15289.795745629817,42936.41722993925,0
11698.03041499108,14901.379514485598,10832.406713161618,37431.816642638296,0
18998.32450784743,16810.34958222881,15778.497424907982,51587.17151498422,1
14226.376069709659,12235.017628408968,12344.62788561359,38806.02158373222,0
17477.464678231627,10397.830202709883,19142.87011139095,47018.16499233246,0
18226.525799836963,15485.663821455091,10383.486428763717,44095.67605005577,0
19546.536463312805,10350.921822246164,19951.65550848469,49849.11379404366,0
16854.44509377703,13375.001358799636,17073.43469141051,47302.88114398718,0
15005.032296758145,13335.60864906758,11249.02849784121,39589.669443666935,0
12754.838624969125,13462.472837418318,17651.70254278928,43869.01400517672,0
12289.039448369294,18392.333046067506,17178.73373767361,47860.10623211041,0
10144.339059479535,17952.91065936908,13551.685847342014,41648.93556619063,0
17289.645625278354,12539.847632870078,19645.414284896106,49474.90754304454,0
12498.804717324674,18529.537606518716,15887.071376200765,46915.413700044155,0
11611.832766793668,14161.505973897874,18845.02675384283,44618.36549453437,0
10170.426501426846,19589.64437013492,11046.262285672128,40806.333157233894,0
14861.00345151499,16994.027579203248,16260.507390834391,48115.53842155263,0
11029.001718852669,19290.217282250524,16517.251895274967,46836.47089637816,0
18015.470046084374,13368.180010002106,13613.055262248963,44996.705318335444,0
13543.280649464577,17742.94613627717,12360.311246011406,43646.53803175315,0
19364.325392525643,14686.771158594638,12571.220130193979,46622.31668131426,0
12458.663922734559,12328.398239333183,17459.50248790905,42246.56464997679,0
14731.414613779634,14119.74749295041,18061.541893985122,46912.704000715166,0
11915.60871200636,14898.724479135126,18810.626422055066,45624.95961319655,0
15832.219698932022,13302.308551501483,12907.842849381268,42042.37109981477,0
14594.731898978353,18544.655942823738,16070.204344578087,49209.59218638018,0
14674.34047954157,12016.554896254092,14235.012589488178,40925.90796528384,0
13998.325555585325,13427.322874777019,13226.345574948937,40651.99400531128,0
15052.855962421745,14883.27593775466,10734.711477998644,40670.84337817505,0
10318.881559651345,10391.12575352192,15460.920811165124,36170.92812433839,0
11144.675880204886,16622.767003718764,19294.714024290442,47062.15690821409,0
14689.35475917533,14738.22042811662,11923.378594219685,41350.953781511635,0
13969.867376144975,10633.90389783308,11751.404996030033,36355.17627000809,0
18336.191941052675,11274.3498547934,19496.21053179726,49106.752327643335,0
17611.217433586717,15856.58430121839,17626.78753118962,51094.58926599473,1
15733.564489055425,19700.979539193213,11305.096598807722,46739.64062705636,0
14475.08045937866,12652.78039034456,13519.477020017803,40647.33786974102,0
10838.020080700517,15247.172706294805,13561.79848080501,39646.99126780033,0
